path,is_article,title,has_h1,chars_no_space,too_short_lt_800,has_core_concept,has_interviewer_focus,has_standard_answer,has_followups,has_scenario_or_code,has_pitfalls_or_summary,missing_count,missing_fields
docs/01-java-core/README.md,False,01-java-core,True,90,False,False,False,False,False,False,False,,
docs/01-java-core/basics/BigDecimal基本原理.md,True,BigDecimal 基本原理,True,1465,False,True,True,True,True,True,True,0,
docs/01-java-core/basics/Comparable与Comparator区别是什么？.md,True,Comparable 与 Comparator 区别是什么？,True,1282,False,True,True,True,True,True,True,0,
docs/01-java-core/basics/Java-SPI机制是什么？.md,True,Java SPI 机制是什么？,True,1293,False,True,True,True,True,True,True,0,
docs/01-java-core/basics/Java内部类是什么？.md,True,Java 内部类是什么？,True,1343,False,True,True,True,True,True,True,0,
docs/01-java-core/basics/Java反射机制.md,True,Java 反射机制,True,3566,False,True,True,True,True,True,True,0,
docs/01-java-core/basics/Java反射机制是什么？.md,True,Java反射机制是什么？,True,3344,False,True,True,True,True,True,True,0,
docs/01-java-core/basics/Java基本类型.md,True,Java 基本类型,True,3219,False,True,True,True,True,True,True,0,
docs/01-java-core/basics/Java异常机制是什么？.md,True,Java 异常机制是什么？,True,1449,False,True,True,True,True,True,True,0,
docs/01-java-core/basics/Java泛型机制是什么？.md,True,Java 泛型机制是什么？,True,1246,False,True,True,True,True,True,True,0,
docs/01-java-core/basics/Java注解机制是什么？.md,True,Java 注解机制是什么？,True,1195,False,True,True,True,True,True,True,0,
docs/01-java-core/basics/Java的传参方式是什么？.md,True,Java 的传参方式是什么？,True,1089,False,True,True,True,True,True,True,0,
docs/01-java-core/basics/Java的数据类型与大小.md,True,Java 的数据类型与大小,True,1827,False,True,True,True,True,True,True,0,
docs/01-java-core/basics/README.md,False,basics,True,1888,False,True,True,True,True,True,True,,
docs/01-java-core/basics/String类型与字符串常量池怎么关联？.md,True,String 类型与字符串常量池怎么关联？,True,1144,False,True,True,True,True,True,True,0,
docs/01-java-core/basics/bigdecimal.md,True,BigDecimal 详解,True,2540,False,True,True,True,True,True,True,0,
docs/01-java-core/basics/deep-copy-shallow-copy.md,True,深拷贝与浅拷贝,True,5121,False,True,True,True,True,True,True,0,
docs/01-java-core/basics/equals-hashcode.md,True,equals 和 hashCode 重写,True,3643,False,True,True,True,True,True,True,0,
docs/01-java-core/basics/final关键字有什么作用？.md,True,final 关键字有什么作用？,True,1630,False,True,True,True,True,True,True,0,
docs/01-java-core/basics/serialization-transient.md,True,序列化与 transient 关键字,True,6177,False,True,True,True,True,True,True,0,
docs/01-java-core/basics/static关键字有什么作用？.md,True,static 关键字有什么作用？,True,1852,False,True,True,True,True,True,True,0,
docs/01-java-core/basics/string-intern.md,True,String intern() 方法详解,True,3136,False,True,True,True,True,True,True,0,
docs/01-java-core/basics/string-pool.md,True,String 常量池,True,3304,False,True,True,True,True,True,True,0,
docs/01-java-core/basics/基本数据类型的缓存池是什么？.md,True,基本数据类型的缓存池是什么？,True,1206,False,True,True,True,True,True,True,0,
docs/01-java-core/basics/如何区分深拷贝与浅拷贝？.md,True,如何区分深拷贝与浅拷贝？,True,1640,False,True,True,True,True,True,True,0,
docs/01-java-core/basics/如何区分重载和重写？.md,True,如何区分重载和重写？,True,1374,False,True,True,True,True,True,True,0,
docs/01-java-core/basics/抽象类与接口区别是什么？.md,True,抽象类与接口区别是什么？,True,2941,False,True,True,True,True,True,True,0,
docs/01-java-core/basics/自动装箱和自动拆箱是什么？.md,True,自动装箱和自动拆箱是什么？,True,1571,False,True,True,True,True,True,True,0,
docs/01-java-core/basics/隐式类型转换是什么？.md,True,隐式类型转换是什么？,True,1240,False,True,True,True,True,True,True,0,
docs/01-java-core/basics/面向对象的三大特性是什么？.md,True,面向对象的三大特性是什么？,True,1978,False,True,True,True,True,True,True,0,
docs/01-java-core/basics/面向对象设计的SOLID原则是什么？.md,True,面向对象设计的 SOLID 原则是什么？,True,1955,False,True,True,True,True,True,True,0,
docs/01-java-core/collections/ArrayList扩容机制是怎么样的？.md,True,ArrayList扩容机制是怎么样的？,True,930,False,True,True,True,True,True,True,0,
docs/01-java-core/collections/ArrayList线程安全吗？.md,True,ArrayList线程安全吗？,True,1133,False,True,True,True,True,True,True,0,
docs/01-java-core/collections/Collection类的类关系是怎么样的？.md,True,Collection类的类关系是怎么样的？,True,1907,False,True,True,True,True,True,True,0,
docs/01-java-core/collections/CopyOnWriteArrayList底层实现原理是怎么样的？.md,True,CopyOnWriteArrayList底层实现原理是怎么样的？,True,1922,False,True,True,True,True,True,True,0,
docs/01-java-core/collections/HashMap与Hashtable区别是什么？.md,True,HashMap与Hashtable区别是什么？,True,1561,False,True,True,True,True,True,True,0,
docs/01-java-core/collections/HashMap执行put方法过程是怎么样的？.md,True,HashMap执行put方法过程是怎么样的？,True,1680,False,True,True,True,True,True,True,0,
docs/01-java-core/collections/HashMap扩容机制是怎么样的？.md,True,HashMap扩容机制是怎么样的？,True,1225,False,True,True,True,True,True,True,0,
docs/01-java-core/collections/HashMap的大小总是2的n次方原因是什么？.md,True,HashMap的大小总是2的n次方原因是什么？,True,1055,False,True,True,True,True,True,True,0,
docs/01-java-core/collections/HashMap的底层如何实现？.md,True,HashMap的底层如何实现？,True,1565,False,True,True,True,True,True,True,0,
docs/01-java-core/collections/Java中有哪些集合是线程安全的？.md,True,Java中有哪些集合是线程安全的？,True,1648,False,True,True,True,True,True,True,0,
docs/01-java-core/collections/Java遍历集合的方法有哪些？.md,True,Java遍历集合的方法有哪些？,True,1827,False,True,True,True,True,True,True,0,
docs/01-java-core/collections/README.md,False,collections,True,1487,False,True,True,True,True,True,True,,
docs/01-java-core/collections/多线程下HashMap会有什么问题？.md,True,多线程下HashMap会有什么问题？,True,1422,False,True,True,True,True,True,True,0,
